cluster,cluster_code,cluster_hectares,catchment_hectares,maflowv_net,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_red1_net,tp_load_red1_net,tss_load_red1_net,tn_load_red2_net,tp_load_red2_net,tss_load_red2_net,tn_load_red3_net,tp_load_red3_net,tss_load_red3_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
Brandywine and Christina,BCC,145739.0505,145739.05049999998,869.379,2365846.1068407213,90883.99775397073,63447834.85738616,362595.2970408382,24289.84047163858,0.0,25479.67538887661,0.0,16076.680132193816,4483.023045622188,5574594.062396681,16076.680132193816,4483.023045622188,5574594.062396681,18529.684479351745,6289.706357751935,5807373.12868589,0.0,20996.652343254424,0.0,0.0,20996.652343254424,0.0,0.0,19211.150706752447,0.0
Kirkwood - Cohansey Aquifer,KCC,550179.6135,687981.5404,40086.66199999999,3658585.594836353,92677.43994278448,139932105.28045666,639453.7113789319,34137.530070445624,0.0,3198.5254199471674,6915250.215059841,1518.1066190676502,111.6233237507154,147851.1144660851,1777.7108528790122,153.41937484954317,190876.37575713638,2074.8088241243668,199.99974398773082,207722.41685346203,0.0,3177.8637970308446,6915250.215059841,0.0,3177.8637970308446,6915250.215059841,0.0,3170.5179913291427,6913882.816068922
Middle Schuylkill,MSC,202958.5594,207998.784,1235.9569999999999,4960558.332941183,350065.3221203616,135686919.13292557,1567556.6776065542,128326.76105989577,316920.909229201,130776.00358679831,945776.5984419642,21315.52293059293,6398.052227016322,2354783.0419283863,21315.52293059293,6398.052227016322,2354783.0419283863,24831.1400749237,9552.695962642287,2752178.126127854,313126.07460975467,124519.75033762153,980824.304539148,313126.07460975467,124519.75033762153,980824.304539148,312487.8735236398,121457.25061760821,957945.6720639782
New Jersey Highlands,NJHC,178647.1454,178647.1454,3959.5339999999987,1157443.7489585276,46731.78727484496,42302205.05861218,246552.27907075122,5753.425673622171,0.0,10443.300836261395,0.0,18208.88632601293,5197.448726172438,3381642.1006990634,18283.982857454714,5218.053432411706,3389883.3146890067,18317.713788076144,5232.321867904038,3392363.499756491,0.0,8078.343575004075,0.0,0.0,8079.1410763184485,0.0,0.0,8069.423256539714,0.0
Poconos and Kittatinny,PKC,342462.1335,342462.1335,3168.7079999999987,745448.7862600256,33412.25266662522,35634083.16966399,46266.5998901173,4563.152084531859,1049.1757320510224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.4939265785506,309.01730282480503,48283.344360723626,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0
Schuylkill Highlands,SHC,44855.1141,67425.1288,514.7990000000007,999762.2263099405,24886.388257003244,22656577.71191575,155533.12954897888,150.23811509922695,0.0,6718.3939511618955,0.0,1012.8249669531506,192.55005327666584,48992.093670836184,1012.8249669531506,192.55005327666584,48992.093670836184,1776.201315118451,598.8001420016569,75572.09077190096,0.0,6525.84389788523,0.0,0.0,6525.84389788523,0.0,0.0,6119.593809160238,0.0
Upper Lehigh,ULC,198029.7681,205107.05129999996,1755.9830000000002,838584.9861423745,51664.403396950096,40869970.46903924,139012.26779424347,11303.841112757773,0.0,2106.410497693412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.8290187631792,842.622291534705,196223.09154054604,0.0,2106.410497693412,0.0,0.0,2106.410497693412,0.0,0.0,1800.9374009810228,0.0
Upstream Suburban Philadelphia,USPC,37411.0946,50681.7213,336.85799999999995,1062957.2234489045,34820.59244263083,45896449.95444989,104045.48683201215,8270.716986355132,210169.88835700633,2916.288045641559,0.0,1157.5041464807582,320.4018532007225,269257.51093727816,1362.7630556267686,342.10715310992475,286819.03290286055,1633.0166132134618,544.9749005625313,297419.1965335752,209892.290818025,2802.1907941476134,0.0,209892.290818025,2802.1907941476134,0.0,209849.40555513385,2694.8474251758603,0.0
drb,DRB,1945875.5637,2044461.9175,107451.01800000001,18670525.99031535,959943.6940571576,623799340.4744673,4901965.541768128,415160.999824552,1200314.5232108445,133806.0921718559,11502426.416284934,13200.905805778184,1889.6209296093293,1834325.7410316833,13451.008138276538,1915.097520944346,1846460.6358863537,24195.203637167124,8890.643899582119,2549173.858453678,1199639.137943275,133312.56303179578,11423308.275417022,1199639.137943275,133287.55041123292,11423418.786843445,1199458.9537292777,129492.46289421039,11422766.244561503
