huc12,huc12_name,centroid_xy,comid,nord,to_huc12,outlet_comid,from_huc12s,inlet_comids,outlet_comids,huc10,huc08,in_drb,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
020401010205,Beers Brook-Middle West Branch Delaware River,[-75.1487165   42.19773902],2614074,74197,020401010207,2614074,['020401010204'],[2613528],[2614074 2614072],0204010102,02040101,True,12681.5176,51958.743834062465,3884.606086019712,2815661.092077476,13399.4142390766,351.711266111566,0.0,0.0,0.0,-177914.17583701413,-398.3756360918537,-8899524.866802523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177914.17583701413,-398.3756360918537,-8899524.866802523,-177914.17583701413,-398.3756360918537,-8899524.866802523,-177914.17583701413,-398.3756360918537,-8899524.866802523
020401010206,Upper Trout Creek,[-75.27221163  42.19367483],2614122,74413,020401010207,2614122,,,[2614122],0204010102,02040101,True,12844.0417,31451.91511598614,3394.737553830045,2192635.4504839396,279.817873105232,23.9204455534022,0.0,0.0,0.0,-188075.6945761191,-610.8358187233572,-9672690.27197606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188075.6945761191,-610.8358187233572,-9672690.27197606,-188075.6945761191,-610.8358187233572,-9672690.27197606,-188075.6945761191,-610.8358187233572,-9672690.27197606
020401010207,Cannonsville Reservoir,[-75.25187935  42.10830643],2614138,74141,020401010304,2614138,['020401010205' '020401010206'],[2614074 2614122],[2614138],0204010102,02040101,True,13643.4033,53421.01606982603,2750.301743105864,1567373.1443592699,0.0,0.0,0.0,0.0,0.0,-179471.878261174,-1479.1532798941362,-11036402.82418073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179471.878261174,-1479.1532798941362,-11036402.82418073,-179471.878261174,-1479.1532798941362,-11036402.82418073,-179471.878261174,-1479.1532798941362,-11036402.82418073
020401010301,East Branch Cold Spring Creek,[-75.37734436  42.15231853],2613804,74118,020401010304,2613804,,,[2613804],0204010103,02040101,True,7962.6876,17670.762245173133,1651.0840639514554,711974.0473371649,0.0,0.0,0.0,0.0,0.0,-118252.31508682687,-817.3490920485447,-6643956.757542835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118252.31508682687,-817.3490920485447,-6643956.757542835,-118252.31508682687,-817.3490920485447,-6643956.757542835,-118252.31508682687,-817.3490920485447,-6643956.757542835
020401010302,Upper Oquaga Creek,[-75.46499608  42.14804811],2613828,74468,020401010303,2613828,,,[2613828],0204010103,02040101,True,9020.1089,56410.0037340135,2609.541111383636,1135574.5558802432,0.0,0.0,0.0,0.0,0.0,-97563.2551889865,-186.6926476163643,-7197202.045939757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97563.2551889865,-186.6926476163643,-7197202.045939757,-97563.2551889865,-186.6926476163643,-7197202.045939757,-97563.2551889865,-186.6926476163643,-7197202.045939757
020401010303,Lower Oquaga Creek,[-75.5057814   42.06103579],2613826,74454,020401010304,2613826,['020401010302'],[2613828],[2613826],0204010103,02040101,True,8459.1752,26571.731731339587,2336.0041461546916,1025710.7762165033,0.0,0.0,0.0,0.0,0.0,-117826.38893266041,-286.34016584530855,-6788875.273543497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117826.38893266041,-286.34016584530855,-6788875.273543497,-117826.38893266041,-286.34016584530855,-6788875.273543497,-117826.38893266041,-286.34016584530855,-6788875.273543497
020401010304,Big Hollow-Lower West Branch Delaware River,[-75.41324413  42.06494589],2614206,74067,020401010305,2614206,['020401010207' '020401010301' '020401010303'],[2614138 2613804 2613826],[2614206],0204010103,02040101,True,5704.3885,27105.9834986139,2225.20296902461,1002061.5403787001,1326.46918299701,217.449072122434,0.0,0.0,0.0,-71594.39737938311,239.39346190217594,-4267652.555921299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71594.39737938311,239.39346190217594,-4267652.555921299,-71594.39737938311,239.39346190217594,-4267652.555921299,-71594.39737938311,239.39346190217594,-4267652.555921299
020401010305,Sherman Creek-Lower West Branch Delaware River,[-75.39714833  42.0036418 ],2622198,74017,020401010307,2622198,['020401010304'],[2614206],[2622198],0204010103,02040101,True,9515.2704,22888.784577591374,2151.755290262257,1237293.6815736536,875.054579907052,74.3629842648921,0.0,0.0,0.0,-140411.9357303157,-872.3415180026351,-7552913.113946346,0.0,0.0,0.0,0.0,0.0,0.0,4.3110828430997685,3.8695159856000476,547.3847692182044,-140411.9357303157,-872.3415180026351,-7552913.113946346,-140411.9357303157,-872.3415180026351,-7552913.113946346,-140416.24681315877,-876.2110339882352,-7553460.498715564
020401010306,Sands Creek,[-75.29989381  42.01807535],2616584,73969,020401010307,2616584,,,[2616584],0204010103,02040101,True,4679.8353,10466.012910642006,965.4713322107156,368539.848033974,0.0,0.0,0.0,0.0,0.0,-69418.77566035799,-485.2776107892845,-3954692.002106026,27.285398478099975,16.2665940262,3289.5119161691,27.285398478099975,16.2665940262,3289.5119161691,27.285398478099975,16.2665940262,3289.5119161691,-69446.06105883609,-501.5442048154845,-3957981.514022195,-69446.06105883609,-501.5442048154845,-3957981.514022195,-69446.06105883609,-501.5442048154845,-3957981.514022195
020401010307,Balls Creek-Lower West Branch Delaware River,[-75.35319139  41.9280722 ],2617290,73934,020401010403,2617290,['020401010305' '020401010306'],[2622198 2616584],[2617290],0204010103,02040101,True,9436.9771,22253.366485836457,2443.950510527494,1441328.1721087317,0.0,0.0,0.0,0.0,0.0,-138835.83261116355,-481.51239047250607,-7276551.272871268,0.0,0.0,0.0,0.0,0.0,0.0,35.312923994501276,30.120936079399904,2937.298739818395,-138835.83261116355,-481.51239047250607,-7276551.272871268,-138835.83261116355,-481.51239047250607,-7276551.272871268,-138871.14553515805,-511.633326551906,-7279488.571611087
020401010401,Upper Equinunk Creek,[-75.35504185  41.82020993],2616860,73811,020401010402,2616860,,,[2616860],0204010104,02040101,True,6025.5775,14741.4505807862,1716.2808797877592,910237.090194336,745.5166161260082,107.80812284727247,0.0,0.0,0.0,-88860.67396033982,-259.45626805951326,-4656191.404305664,0.0,0.0,0.0,0.0,0.0,0.0,42.640867173898165,33.00685168119992,3846.067697928592,-88860.67396033982,-259.45626805951326,-4656191.404305664,-88860.67396033982,-259.45626805951326,-4656191.404305664,-88903.3148275137,-292.4631197407132,-4660037.472003592
020401010402,Lower Equinunk Creek,[-75.28379964  41.8177342 ],2616778,73808,020401010403,2616778,['020401010401'],[2616860],[2616778],0204010104,02040101,True,8857.314,20114.774000245474,2077.071182693695,1175120.3568951697,223.348670533952,139.906556572388,0.0,0.0,0.0,-131302.92465028848,-808.602713878693,-7007266.31630483,0.0,0.0,0.0,0.0,0.0,0.0,15.899158300400785,12.405467504199843,1236.343197099715,-131302.92465028848,-808.602713878693,-7007266.31630483,-131302.92465028848,-808.602713878693,-7007266.31630483,-131318.82380858887,-821.0081813828928,-7008502.65950193
020401010403,Factory Creek-Delaware River,[-75.27209009  41.88759792],2617370,73807,020401010406,2617370,['020401010307' '020401010402' '020401020507'],[2617290 2616778 1752159],[2617370 2617366],0204010104,02040101,True,5730.5553,20026.579654398913,1594.5371666253632,427317.54802660824,7251.849638302399,609.175216625609,0.0,0.0,0.0,-85045.84895490349,-791.1101930002459,-4866569.438113391,0.0,0.0,0.0,0.0,0.0,0.0,0.9069389233002241,0.6916708694000011,115.90252847929696,-85045.84895490349,-791.1101930002459,-4866569.438113391,-85045.84895490349,-791.1101930002459,-4866569.438113391,-85046.75589382679,-791.8018638696458,-4866685.340641871
020401010404,Basket Creek,[-75.06522675  41.89359282],2616756,73746,020401010406,2616756,,,[2616756],0204010104,02040101,True,5830.2182,14563.400242300693,1011.2333326114797,646478.0431107152,0.0,0.0,0.0,0.0,0.0,-84958.42443169931,-796.1343093885203,-4739477.530049285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84958.42443169931,-796.1343093885203,-4739477.530049285,-84958.42443169931,-796.1343093885203,-4739477.530049285,-84958.42443169931,-796.1343093885203,-4739477.530049285
