,0
catchment_hectares,3368531.7773
TotalN,54266543.805297844
TotalP,3978268.5474829744
Sediment,1699131451.432888
tn_load_ps,26477470.63610658
tp_load_ps,2214209.176396604
tn_load_avoid,4.045516205879261
tp_load_avoid,35.84442246241611
tss_load_avoid,1592.6211754362184
tn_load_xsnps,-29711764.269319743
tp_load_xsnps,719814.5201233707
tss_load_xsnps,-1412718204.436852
tn_load_rem1,-29761096.766392544
tp_load_rem1,690518.3278708864
tss_load_rem1,-1433908504.209978
tn_load_rem2,-29761546.579794332
tp_load_rem2,689969.2172106465
tss_load_rem2,-1434139669.071948
tn_load_rem3,-29773436.4211515
tp_load_rem3,668287.6745988996
tss_load_rem3,-1438100005.3315232
