cluster,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
Brandywine and Christina,126864.4144,2065244.3720258288,116004.29390936221,81187482.61059888,365112.10667549854,33237.67407518736,0.0,0.0,0.0,-465443.28845766984,43438.651370174855,-36009863.41212111,-467371.8156023322,42849.96366640246,-36575520.23265991,-467371.8156023322,42849.96366640246,-36575520.23265991,-469343.8032860996,40892.39328911565,-36691488.92829791
Kirkwood - Cohansey Aquifer,229360.6413,1179912.3504983725,60483.0776504638,90502974.00228979,140224.10907406174,12421.36768781173,2.290826661990195,18.41626110213979,766.3437033793307,-2875497.905566689,-23040.08884034793,-121380386.4306502,-2875497.905566689,-23040.08884034793,-121380386.4306502,-2875497.905566689,-23040.08884034793,-121380386.4306502,-2875606.2512564245,-23076.24522372413,-121388998.99817684
Middle Schuylkill,172185.0158,4414271.799737968,360875.995564374,127872615.00705135,1612201.13378702,140447.52143098408,0.0,0.0,0.0,-137127.55375505282,167051.11923538995,-31191902.588988647,-143460.1385667255,165212.84897580315,-32031530.69817075,-143460.1385667255,165212.84897580315,-32031530.69817075,-146673.17365053872,161865.67649458224,-32455113.683736593
New Jersey Highlands,97953.7623,1226267.0422528253,71898.77172944759,40705684.949648656,205260.38142773125,14402.248508933515,4.066981292009984,37.27741051020043,1719.866611773975,-651064.0616359059,27130.856907514073,-49784000.66309134,-651776.1350788402,26767.828474355872,-49945901.27612592,-651776.1350788402,26767.828474355872,-49945901.27612592,-652004.4706052231,26550.90392604307,-49956775.84306927
Poconos and Kittatinny,182634.065,617804.6786603697,43387.72137210607,37929143.35321281,73677.74091169042,6885.62786251501,6.699033551310052,60.18562389848,2824.615176574137,-2573436.5518013206,-20114.46664040894,-130788205.89378718,-2573436.5518013206,-20114.46664040894,-130788205.89378718,-2573436.5518013206,-20114.46664040894,-130788205.89378718,-2573737.855411806,-20387.949534617943,-130831952.95570512
Schuylkill Highlands,20561.3452,446796.78284572257,33377.019813343504,11746808.703675983,171693.16820954412,19105.75233062809,1.6131016054996508,14.89782094439997,632.0395281033998,-75878.54792782154,7897.250470715414,-7247761.992084016,-75879.02815086153,7896.989935355414,-7247761.992084016,-75879.02815086153,7896.989935355414,-7247761.992084016,-76152.63174490262,7629.326735034215,-7261825.786075396
Upper Lehigh,142704.0914,611301.6546291774,66262.88948185326,44318561.99517257,79992.08561350644,14781.267879356305,4.353058334421256,38.21160428706003,1736.0930115677365,-1904649.271182329,7243.353268496958,-87511477.64014743,-1904649.271182329,7243.353268496958,-87511477.64014743,-1904649.271182329,7243.353268496958,-87511477.64014743,-1905704.3540739696,6270.116662389358,-87719301.19254094
Upstream Suburban Philadelphia,26845.841,275625.48258487455,16346.262611658807,22138110.701126818,48368.96961100604,4363.898097813089,0.0,0.0,0.0,-231001.9928961315,3660.153803845717,-2662077.214673179,-231316.93134661228,3607.715497555117,-2697149.8425359023,-231522.2084540657,3586.001116264517,-2714750.4422839526,-231679.5680663693,3456.9704295503157,-2722398.3510192414
drb,1944356.0386,38356588.59764266,2862493.8827321967,1056250459.7110455,22508915.135164678,1851464.5168725157,20.45304366904338,189.39113804365968,7690.856152847075,-17342484.116424017,408278.993893681,-739945648.7476344,-17343159.32339697,407945.545680417,-740100997.0403389,-17343409.543565255,407919.803236825,-740113195.027364,-17354942.414654456,396803.904978015,-740957455.9193033
