cluster,catchment_hectares,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tss_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
Brandywine and Christina,145739.0505,3392404.144610028,78543.94997179696,88089759.39207786,390158.0932177117,11834.549253499481,0.0,-2422392.811559917,-38014.434357624836,-184053400.6342043,-2452630.610212214,-42692.166618907155,-192047043.13356864,-2452630.610212214,-42692.166618907155,-192047043.13356864,-2456007.020855708,-43853.36675049761,-192270030.99920493
Kirkwood - Cohansey Aquifer,550179.6135,4312180.000569966,109949.41153607273,134831828.30942595,938854.5099797032,44623.52961474033,0.0,-11040007.602089075,-209432.3302029746,-588136462.6808078,-11041880.064938609,-209656.50768138943,-588321217.6573341,-11042373.438485859,-209834.3744290386,-588393367.6961281,-11042675.496902535,-209907.2252968552,-588409073.8700902
Middle Schuylkill,202958.5594,8607998.577268085,554589.2869535902,184580173.40740368,3411377.791672429,250914.8609625443,0.0,-1497842.3704886213,175852.4807845437,-151259468.50798023,-1525711.8994255199,168249.71645009547,-154158802.24813768,-1525711.8994255199,168249.71645009547,-154158802.24813768,-1530397.0741984944,164382.96774170644,-154780417.78034177
New Jersey Highlands,178647.1454,1756611.231577464,87330.80219403608,60787948.832517214,349288.2311011592,19761.32943455569,0.0,-3662105.3256996027,-29036.138020370527,-193530188.2357152,-3679738.5070519387,-33454.74984270386,-196657258.57086527,-3680069.7322233417,-33622.10608075741,-196712346.0248439,-3680306.902619482,-33825.37371419638,-196724036.32282162
Poconos and Kittatinny,342462.1335,1268144.0926810831,36216.959317890294,52421879.79849033,109183.64138500838,3320.791738785418,0.0,-13148880.12185849,-240477.42658345893,-665375693.4838344,-13148879.658407316,-240474.84186039912,-665375284.4268728,-13148879.658407316,-240474.84186039912,-665375284.4268728,-13149353.52623414,-240820.73802454522,-665414792.3555716
Schuylkill Highlands,44855.1141,734229.0296510952,12747.592416371815,12442512.833584053,152149.40570932333,-1350.2457749479854,0.0,-999157.4246112221,-22011.88981721386,-66604961.35829469,-999590.892105215,-21760.155071203524,-66528070.357085936,-999590.892105215,-21760.155071203524,-66528070.357085936,-1000143.5192546718,-22006.608748643706,-66536194.02621542
Upper Lehigh,198029.7681,1083662.495551978,66385.3197105883,57720776.6047272,128226.43179189859,10551.16889389137,0.0,-11292482.780087387,-178125.36551559196,-556725634.5255363,-11292482.780087387,-178125.36551559196,-556725634.5255363,-11292482.780087387,-178125.36551559196,-556725634.5255363,-11293728.808449537,-179060.37180167084,-556929688.0004483
Upstream Suburban Philadelphia,37411.0946,510962.8677575913,23475.762557175938,29455717.145520832,88313.00701480135,7581.729357141243,0.0,-582787.2022030718,-3243.3172261842747,-20985923.381694473,-583945.3365881258,-3569.426780677391,-21257097.90167003,-584150.5954972717,-3591.1320805865935,-21274659.423635613,-584356.8598988536,-3754.2001303643606,-21283489.91143417
drb,1945875.5637,24791531.090048533,1427987.3517234686,862582373.6944977,6574932.6597058205,743630.5789883543,0.0,-58208426.03711366,-806291.4092897909,-2973418167.3610187,-58217976.7191663,-806183.3728791256,-2972968532.3201146,-58218216.59125972,-806194.8800102244,-2972974059.351683,-58233000.42559369,-813889.6080423096,-2973690071.93562
