cluster,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
Brandywine and Christina,145739.0505,2497755.4657281796,140709.514029788,95088937.18198861,373787.07227769605,33920.400796085574,0.0,0.0,0.0,-363797.19858451653,61610.00757870244,-39544797.669911385,-379591.5557391204,56047.18931531984,-45696599.10249317,-379591.5557391204,56047.18931531984,-45696599.10249317,-382159.5011433134,53681.210693575034,-45984566.02441902
Kirkwood - Cohansey Aquifer,550179.6135,4002327.7243221677,223432.3080603164,206832295.70913696,1060019.1758654853,91737.99183809792,44.645635164081206,388.69910566679977,15874.813731763621,-6449257.453988317,-38861.36396278151,-301423631.242163,-6450570.948036653,-39218.66160025651,-301703469.9450182,-6450845.679292935,-39369.01605756451,-301780324.662403,-6451083.355884312,-39473.40708971791,-301799615.78463686
Middle Schuylkill,202958.5594,5101492.429682845,425934.5290996771,154060300.39321673,1616390.4047528126,142474.74786436252,0.0,0.0,0.0,20599.415972032773,220542.62782131456,-33432816.780503273,-935.461993506809,212986.9028367637,-35883319.84858141,-935.461993506809,212986.9028367637,-35883319.84858141,-4630.410244650326,209083.8986985548,-36376310.788881734
New Jersey Highlands,178647.1454,2097073.528146177,139428.7533228545,83155017.53438392,462256.3218416474,41890.8683604422,57.73073100090916,523.0700870550596,23225.834844976333,-1414689.5656734705,42157.269888412295,-81879215.38613607,-1433944.5682913468,36158.604397622614,-85568355.73501782,-1434278.3490675592,35979.66874647682,-85626133.40676771,-1434548.704739831,35737.351813251815,-85639908.14698896
Poconos and Kittatinny,342462.1335,1078940.5734094775,68330.8251604173,62414817.515712395,89188.41163310368,8572.550999613277,212.7205555604801,1916.0833469441218,89641.7034333238,-4856076.457068627,-46404.98722419598,-253951701.4115876,-4856076.457068627,-46404.98722419598,-253951701.4115876,-4856076.457068627,-46404.98722419598,-253951701.4115876,-4856546.810497024,-46857.900647150986,-254004613.96832144
Schuylkill Highlands,44855.1141,770268.5932907669,52589.603968919575,22177908.12637333,171732.1712583244,19183.908139388506,13.96492907819993,130.1434903404814,5784.37957819039,-167140.37565455746,19500.61045853107,-19259246.27920667,-167734.50925774686,19283.95603290227,-19311596.804092843,-167734.50925774686,19283.95603290227,-19311596.804092843,-168297.86221657586,18729.36189859427,-19344644.209019534
Upper Lehigh,198029.7681,742984.8749548984,76817.21658623841,53667829.230513096,90498.0672336213,15750.526878858102,103.85280543650103,956.163127703461,40291.405095794835,-2727881.333745723,-322.5384036196889,-129272070.5402669,-2727881.333745723,-322.5384036196889,-129272070.5402669,-2727881.333745723,-322.5384036196889,-129272070.5402669,-2728996.305029769,-1355.5631460012892,-129486382.9174971
Upstream Suburban Philadelphia,37411.0946,533446.7242187248,26574.060887211057,31462097.0393469,104574.72707713845,9204.598867422575,0.0,0.0,0.0,-209735.38768041367,5772.022693788481,-3098272.1521330983,-210896.13005329348,5425.619514446077,-3377611.2631816035,-211101.3889624395,5403.914214536877,-3395172.7851471636,-211314.60358375328,5228.677445661076,-3405166.1521836673
drb,1945875.5637,38379625.14333858,2863621.8660204527,1057053061.4370453,22509024.284166757,1851473.5826523332,20.45304366904338,189.39113804365968,7690.856152847075,-17345495.013187174,408926.85862111964,-740546784.3090146,-17346239.967973035,408566.50434908184,-740703658.887505,-17346490.18814132,408540.76190548984,-740715856.8745303,-17358026.237480287,397423.0697512478,-741560302.3649852
