huc10,huc10_name,comid,nord,in_drb,huc08,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
0204010605,Aquashicola Creek,4187957,75288,True,02040106,20265.0684,95849.8026172683,11809.733101093263,6700714.154605014,28151.094573358216,2482.8317970778826,70.75049040768984,657.9438217903203,26451.059395814224,-278226.0095440899,3044.7301000153802,-12020156.033314984,0.0,0.0,0.0,0.0,0.0,0.0,268.9406149332019,243.42531591319988,59471.74312204528,-278226.0095440899,3044.7301000153802,-12020156.033314984,-278226.0095440899,3044.7301000153802,-12020156.033314984,-278494.9501590231,2801.3047841021803,-12079627.77643703
0204010606,Jordan Creek,4188007,75134,True,02040106,21306.5299,337454.3084521321,31021.461660809953,19631729.329822235,12717.188643854342,5703.176796606675,0.0,0.0,0.0,-38965.345584722265,18713.26059520328,-51242.99179776275,0.0,0.0,0.0,250.22016828579945,25.74244359199997,12197.987025176059,730.8203610746951,504.2067687706002,109468.10851735268,-38965.345584722265,18713.26059520328,-51242.99179776275,-39215.565753008064,18687.51815161128,-63440.97882293892,-39696.16594579696,18209.05382643268,-160711.10031511556
0204010607,Little Lehigh Creek,4187747,75049,True,02040106,27825.5915,416853.9773508186,32732.451825423308,25589730.101444647,14259.421902002156,459.08031302522147,0.0,0.0,0.0,-72388.29145618361,23647.438147398087,-115551.32625535171,429.0820939971984,207.40346193260027,112063.64479314668,429.0820939971984,207.40346193260027,112063.64479314668,757.0048715285892,511.62036467760436,165438.06280694169,-72817.3735501808,23440.034685465485,-227614.9710484984,-72817.3735501808,23440.034685465485,-227614.9710484984,-73145.29632771219,23135.81778272048,-280989.3890622932
0204010608,Lower Lehigh River,4188251,74985,True,02040106,91460.669,2313367.8701243345,276577.98129252763,71987689.85546187,1289034.996780155,187151.53452039254,0.0,0.0,0.0,-536900.7464858209,61073.6393821351,-12503676.166738125,0.0,0.0,0.0,0.0,0.0,0.0,1258.380603297213,1253.958109913814,142872.83526190848,-536900.7464858209,61073.6393821351,-12503676.166738125,-536900.7464858209,61073.6393821351,-12503676.166738125,-538159.1270891181,59819.68127222129,-12646549.002000032
0204020101,Crosswicks Creek,4481793,68604,True,02040201,37448.986,738530.9848496157,70511.18474405279,33314406.144542903,380372.3763452416,50844.879367880974,0.0,0.0,0.0,-281095.582515626,8057.119716171819,-1280967.1222570974,0.0,0.0,0.0,0.0,0.0,0.0,40.84679558963376,7.499357001593052,3549.133600496127,-281095.582515626,8057.119716171819,-1280967.1222570974,-281095.582515626,8057.119716171819,-1280967.1222570974,-281136.4293112156,8049.620359170226,-1284516.2558575936
0204020102,Upper Neshaminy Creek,4483005,68350,True,02040201,34642.3524,365707.1061552844,43261.29295516845,35889711.04229664,158563.32975935895,18630.58081070917,0.0,0.0,0.0,-384201.1790720746,13891.58290045928,3887105.8951766435,0.0,0.0,0.0,0.0,0.0,0.0,755.4539372605037,765.3001445659996,27829.76026762374,-384201.1790720746,13891.58290045928,3887105.8951766435,-384201.1790720746,13891.58290045928,3887105.8951766435,-384956.6330093351,13126.282755893279,3859276.1349090203
0204020103,Lower Neshaminy Creek,4481917,68275,True,02040201,25430.2205,187785.74581526898,16258.433419198202,23057961.39750908,10277.998434069605,1116.5043454851325,0.0,0.0,0.0,-256586.11655380062,7258.56071871307,-434476.30039091816,0.0,0.0,0.0,0.0,0.0,0.0,460.21070032859916,461.35072274000055,13989.878559197365,-256586.11655380062,7258.56071871307,-434476.30039091816,-256586.11655380062,7258.56071871307,-434476.30039091816,-257046.32725412922,6797.209995973069,-448466.17895011563
0204020104,Assiscunk Creek-Delaware River,4485575,68274,True,02040201,42654.1381,1052586.5917269979,135720.1414351185,33238103.033739444,736480.3569796496,116851.27710390101,0.0,0.0,0.0,-411999.9026196519,5646.0815202174945,-6165789.743040554,0.0,0.0,0.0,0.0,0.0,0.0,376.5121203263813,338.95054384469785,6901.494938139804,-411999.9026196519,5646.0815202174945,-6165789.743040554,-411999.9026196519,5646.0815202174945,-6165789.743040554,-412376.41473997827,5307.130976372797,-6172691.237978695
0204020201,North Branch Rancocas Creek,932040307,68018,True,02040202,38317.7132,196086.91035693677,20638.46132989159,17709777.906692296,83506.85063419909,13266.162937628349,0.9323446094699648,7.524523657079996,306.2055725349055,-541503.3046012623,-4506.19269973676,-17688125.5474677,0.0,0.0,0.0,0.0,0.0,0.0,8.966481839379489,1.5600188862000561,758.8320813951045,-541503.3046012623,-4506.19269973676,-17688125.5474677,-541503.3046012623,-4506.19269973676,-17688125.5474677,-541512.2710831017,-4507.75271862296,-17688884.379549097
0204020202,South Branch Rancocas Creek,4492218,67694,True,02040202,43425.8511,243313.17461911705,18752.924581102987,29185551.98096986,80016.07415418036,5436.45657432994,10.107070368910552,85.7021323907397,3705.6366802003045,-577982.1778120633,-145.54583422695362,-10931249.265210137,0.03613071390003597,0.008174675599999404,51.35401046319748,0.03613071390003597,0.008174675599999404,51.35401046319748,17.263772938704808,3.018264575400037,1520.0327696615332,-577982.2139427772,-145.55400890255362,-10931300.6192206,-577982.2139427772,-145.55400890255362,-10931300.6192206,-577999.441585002,-148.56409880235367,-10932769.297979798
0204020203,Pennypack Creek-Rancocas Creek,4488286,67672,True,02040202,33062.7962,635084.1294840701,28195.04000332637,36393910.99989966,178592.72406132394,10206.569097322516,0.0,0.0,0.0,-107890.52571125384,7739.004084003852,5850499.870339666,155.05605189139987,39.70857363920003,42895.410573293026,155.05605189139987,39.70857363920003,42895.410573293026,359.91414075810155,198.46828493059036,50307.30669097267,-108045.58176314524,7699.295510364652,5807604.459766373,-108045.58176314524,7699.295510364652,5807604.459766373,-108250.43985201193,7540.535799073262,5800192.563648693
0204020204,Cooper River-Delaware River,4495990,67538,True,02040202,46729.7256,7509056.984034414,282582.9965824217,58180762.577786356,6266723.892973351,255456.46222567323,0.0,0.0,0.0,444656.67506906355,12640.3194207485,15011842.06850636,277.7762992890016,118.39797849839991,73888.65155728701,277.7762992890016,118.39797849839991,73888.65155728701,485.1670820866678,249.91729632259919,82485.7116817169,444378.89876977453,12521.921442250099,14937953.416949073,444378.89876977453,12521.921442250099,14937953.416949073,444171.5079869769,12390.4021244259,14929356.356824642
0204020205,Darby Creek-Mantua Creek,4496226,65319,True,02040202,59485.851,7391917.65330739,229240.4736471554,90443488.44683377,6825188.456569935,199095.57949620404,0.0,0.0,0.0,-448694.27983254497,11704.28034095135,35490459.29303377,242.18314803699923,43.772467266799936,29081.111054078327,447.4420571829987,65.47776717599993,46642.633019638364,630.5005695823929,168.0014688630027,56519.59866211568,-448936.462980582,11660.507873684552,35461378.18197969,-449141.721889728,11638.80257377535,35443816.66001414,-449324.78040212736,11536.278872088349,35433939.694371656
