huc10,huc10_name,huc08,catchment_hectares,maflowv_net,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_red1_net,tp_load_red1_net,tss_load_red1_net,tn_load_red2_net,tp_load_red2_net,tss_load_red2_net,tn_load_red3_net,tp_load_red3_net,tss_load_red3_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
0204010305,Wallenpaupack Creek,02040103,1495.8856,303.15600000000006,105122.32119846101,4745.033275592854,4170992.2462027967,5258.097965037,206.22345621044005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9467853900278,35.15633078093879,5420.834389485419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010306,Lackawaxen River,02040103,182.7337,330.5470000000001,164468.2711746679,12431.031138599204,6809735.472007532,64269.79852250391,5323.609226295769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.2035393651167,250.02958012634008,31941.882283339277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010401,Mongaup River,02040104,1142.9064999999998,392.077,108136.81547983261,4553.423042535012,6032175.849117181,4614.649471154206,152.20355517634107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010402,Basher Kill,02040104,756.8698999999999,132.596,48886.08775246788,1511.7788276055808,1103252.7293356094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010403,Neversink River,02040104,3862.1677,465.433,235208.5796059728,5437.0374397629585,5717570.296915549,5606.763102868722,1135.8107178763128,1049.1757320510224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03406162513419986,0.0042855016072280705,2.9742787182331085,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0,1049.1757320510224,0.0,0.0
0204010404,Shahola Creek,02040104,403.597,157.406,44269.24028962421,1839.9292148068487,2326918.651966105,497.2429836204188,434.69531432374765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2155842959182337,2.605780490219331,112.0953709743917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010405,Halfway Brook-Delaware River,02040104,1327.8019,245.63300000000098,36969.78812779721,1789.2258322448515,1508692.9691558806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010406,Bush Kill,02040104,2914.3903,319.892,81319.90898372378,2465.6483967891986,3040626.8645608514,2959.0074244936545,326.7037976033909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.238803315442055,25.64131870321944,213.96960897743702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010407,Raymondskill Creek-Delaware River,02040104,1181.9274,289.36499999999813,36643.51040911126,1849.9147665766022,2892839.3746107128,409.60264110213654,24.322491730214956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.28850283291831,24.39466637517262,86.90687561035156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010408,Pocono Creek,02040104,902.6187000000001,250.316,109228.73088907002,11439.316113094745,11344661.167299869,27310.07966414161,2671.655563218745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.82000376889482,158.31608778657937,37330.16166249663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010409,Broadhead Creek,02040104,829.6848,446.079,134872.41260971123,8576.966670280115,13390517.357053785,9882.865446668655,1149.8364700709826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.7908500495687,126.91291221207416,1360.4958335072733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010410,Flat Brook-Delaware River,02040104,2369.1628,742.6070000000002,91237.84855746009,3407.336473139021,1946417.088604142,8513.219541101138,723.0161985385344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.98008644208312,19.95121464094177,6747.0819273600355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010501,Paulins Kill River-Delaware River,02040105,1304.4986999999999,315.073,333586.18723330094,8435.888435808341,8634095.05176125,49763.6010312051,1733.7689349581087,0.0,0.0,0.0,12171.312357223593,2337.7041455058625,1197527.9911837317,12214.845928755007,2346.698391425989,1201873.0236828066,12221.824617489474,2347.217527524688,1202289.754519444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010502,Pequest River-Delaware River,02040105,1671.2258,271.902,105560.37255553989,3915.122635247401,4063428.2176715895,9432.222440330319,171.66762115988266,0.0,0.0,0.0,78.11250103413477,12.201124217793222,0.0,78.11250103413477,12.201124217793222,0.0,81.17945520936337,12.699913743431807,172.7906652484089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010503,Bushkill Creek-Delaware River,02040105,4934.226,141.496,299179.76075489435,30618.82666007877,13108316.80470416,27880.401095386067,10488.391296883852,0.0,9939.19472338217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.76531885075383,489.33186302441936,16337.670348852873,0.0,9939.19472338217,0.0,0.0,9939.19472338217,0.0,0.0,9473.685870751917,0.0
0204010504,Pohatcong Creek-Delaware River,02040105,1702.0736000000002,107.347,198398.78550495743,14550.066581693181,9142396.16805665,10656.429933669822,1588.683702818611,0.0,5791.205403846465,0.0,570.769900171028,286.66237309212374,130734.21194148809,570.769900171028,286.66237309212374,130734.21194148809,578.6365532523487,292.2303140027243,131176.53097635508,0.0,5521.113114394206,0.0,0.0,5521.113114394206,0.0,0.0,5516.28805720074,0.0
