cluster,catchment_hectares,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tss_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
Brandywine and Christina,126864.4144,2961544.6384546696,55178.87590311648,74554891.68421496,381539.9295959582,11259.155364716968,0.0,-2357586.928056006,-51536.83116683011,-173153531.1880075,-2373990.588295609,-51423.48721635007,-175700687.3221921,-2373990.588295609,-51423.48721635007,-175700687.3221921,-2376771.9793065186,-52186.340526138585,-175753124.994319
Kirkwood - Cohansey Aquifer,229360.6413,1303225.7817031457,31439.729348278295,69356064.25452791,76091.00338658039,479.2619684746667,0.0,-4677368.297117938,-81400.34891645932,-226865370.636321,-4677369.363450852,-81400.37477317902,-226864996.95927328,-4677367.192246076,-81400.25483011352,-226864391.1997803,-4677488.769566974,-81421.68785945949,-226871687.3537654
Middle Schuylkill,172185.0158,7937341.231582479,497285.24743068527,160112937.87024227,3407277.790239612,249196.63392240801,0.0,-1342408.12332075,135910.46812042853,-134488194.60893807,-1358581.874419942,132651.47812640094,-136462121.57017604,-1358581.874419942,132651.47812640094,-136462121.57017604,-1362792.411585774,129277.96961168916,-137019534.71858662
New Jersey Highlands,97953.7623,996465.901015269,50666.29843783425,29004257.405904215,157542.5356718584,10978.693713810797,0.0,-1841227.5820076016,-11412.522343160976,-105454972.2097597,-1841659.4154789583,-11225.827357948208,-105401668.74557897,-1841658.4516240896,-11223.314875157994,-105400882.12787502,-1841866.0946799451,-11415.275378737848,-105410286.8894327
Poconos and Kittatinny,182634.065,588238.5401221279,26256.57758560516,30711306.912263207,72249.31762267303,5488.424946063431,0.0,-5887516.18407457,-101135.84069008338,-290548157.9426438,-5887515.960442756,-101134.42501723171,-290547947.88565665,-5887515.960442756,-101134.42501723171,-290547947.88565665,-5887802.16746563,-101314.82968036813,-290581409.2549509
Schuylkill Highlands,20561.3452,395604.0122656323,-6317.479620811971,1828616.3177163645,153713.36652011145,218.30558408926845,0.0,-712396.1858783507,-29103.036398042772,-45845723.2708422,-712237.0591021816,-28646.069330276518,-45717711.90178878,-712237.0591021816,-28646.069330276518,-45717711.90178878,-712488.2623779381,-28604.870355054994,-45706447.8604248
Upper Lehigh,142704.0914,761189.1508608864,53440.286993826354,42558836.42385744,87949.4192410878,9529.092795549732,0.0,-6579267.761840268,-94638.52027570123,-321286315.0981564,-6579267.761840268,-94638.52027570123,-321286315.0981564,-6579267.761840268,-94638.52027570123,-321286315.0981564,-6580393.394175512,-95517.96501242935,-321484285.24303627
Upstream Suburban Philadelphia,26845.841,253147.30659599707,13252.122460715069,20135950.422693808,32107.249548668933,2741.028587531755,0.0,-503193.79402435373,-3275.666897924413,-16197968.713878186,-503530.77363669674,-3310.5947991538933,-16226377.293427978,-503736.03254584275,-3332.3000990630953,-16243938.815393561,-503886.44344496954,-3449.181264848105,-16250424.84274968
drb,1944356.0386,24768814.91072438,1427218.641102832,861922678.3634877,6574824.986292576,743624.0499663077,0.0,-58198598.03292311,-806436.0072146124,-2972450562.5078716,-58208143.175350145,-806325.2065213864,-2971997744.7213254,-58208383.04744356,-806336.713652485,-2972003271.752894,-58223163.75543631,-814030.2378489872,-2972719131.541042
