cluster,catchment_hectares,tp_load,tn_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_rem,tp_load_rem,tss_load_rem
Brandywine and Christina,126864.4144,97317.5974,1683407.3668,90198942.8059,365265.8976550175,33469.872894109096,0.0,0.0,0.0,-847434.0846630175,24519.7560418909,-26998403.216819994,-849334.1901630176,23939.5184418909,-27538660.488419995
Kirkwood - Cohansey Aquifer,229360.6413,51248.7616,939348.8516,74323729.564,190207.91863996684,20147.949604085967,518.8538187361295,82.24909771570759,322421.4015109059,-3166045.214030967,-40000.98680708597,-137559630.86894,-3166045.214030967,-40000.98680708597,-137559630.86894
Middle Schuylkill,172185.0158,250825.4435,2903345.9513,120287827.3119,1609895.9222166003,143819.37164733448,0.0,0.0,0.0,-1645748.1906226003,53628.716954665506,-38776690.28413999,-1651951.1640226003,51863.75555466551,-39582690.260139994
New Jersey Highlands,97953.7623,71201.6581,1026635.2897,45168422.1956,205521.18793741288,14889.680146727038,86.95778878701609,20.677441771839767,52774.40987244726,-850956.6206984129,25946.31164027296,-45321263.41714,-851639.3511984128,25593.414540272963,-45476666.53954
Poconos and Kittatinny,182634.065,43085.5917,486738.9018,41200570.9549,74496.27063765776,11378.037187444823,3935.5645721715355,1119.157569100406,2774931.891546549,-2705320.858387658,-24909.00563744482,-127516778.2921,-2705320.858387658,-24909.00563744482,-127516778.2921
Schuylkill Highlands,20561.3452,35890.533299999996,400270.6814,15120123.816,172994.3531525463,22864.064158374014,77.41038803828823,19.238270304198707,50211.376628034704,-123705.8343165463,6652.452129625986,-3874446.879759999,-123706.3164165463,6652.189729625987,-3874446.879759999
Upper Lehigh,142704.0914,50821.6184,436732.4123,43503059.708,80078.46944555,15299.899324252347,437.27274765181915,160.86552041067947,368653.54412786657,-2079304.89734355,-8716.549258252346,-88326979.92731999,-2079304.89734355,-8716.549258252346,-88326979.92731999
Upstream Suburban Philadelphia,26845.841,49067.0979,202752.6665,29744747.3856,14276.341376449205,38259.9432901903,0.0,0.0,0.0,-269782.1807464492,2484.9438998096957,4944559.469800001,-269899.0400464492,2452.4482998096973,4920204.5863000015
drb,1944356.0386,2890821.9261,34807612.6125,1057738732.2508,21901690.807897955,2048569.062692737,2125.8905153668543,466.57513057903117,971878.596247394,-20284235.774299957,239502.491441263,-738457376.2078799,-20284824.076299958,239238.944841263,-738597252.44608
