"gid","huc12","area_sqkm","tss_hay_pas_kg","tss_crop_kg","tss_wooded_kg","tss_wetland_kg","tss_open_land_kg","tss_barren_kg","tss_dev_ld_kg","tss_dev_md_kg","tss_dev_hd_kg","tss_dev_os_kg","tss_farm_animal_kg","tss_streambank_eros_kg","tss_subsurface_kg","tss_pt_source_kg","tss_septic_kg","tn_hay_pas_kg","tn_crop_kg","tn_wooded_kg","tn_wetland_kg","tn_open_land_kg","tn_barren_kg","tn_dev_ld_kg","tn_dev_md_kg","tn_dev_hd_kg","tn_dev_os_kg","tn_farm_animal_kg","tn_streambank_eros_kg","tn_subsurface_kg","tn_pt_source_kg","tn_septic_kg","tp_hay_pas_kg","tp_crop_kg","tp_wooded_kg","tp_wetland_kg","tp_open_land_kg","tp_barren_kg","tp_dev_ld_kg","tp_dev_md_kg","tp_dev_hd_kg","tp_dev_os_kg","tp_farm_animal_kg","tp_streambank_eros_kg","tp_subsurface_kg","tp_pt_source_kg","tp_septic_kg","tss_hay_pas_lb_acre","tss_crop_lb_acre","tss_wooded_lb_acre","tss_wetland_lb_acre","tss_open_land_lb_acre","tss_barren_lb_acre","tss_dev_ld_lb_acre","tss_dev_md_lb_acre","tss_dev_hd_lb_acre","tss_dev_os_lb_acre","tn_hay_pas_lb_acre","tn_crop_lb_acre","tn_wooded_lb_acre","tn_wetland_lb_acre","tn_open_land_lb_acre","tn_barren_lb_acre","tn_dev_ld_lb_acre","tn_dev_md_lb_acre","tn_dev_hd_lb_acre","tn_dev_os_lb_acre","tp_hay_pas_lb_acre","tp_crop_lb_acre","tp_wooded_lb_acre","tp_wetland_lb_acre","tp_open_land_lb_acre","tp_barren_lb_acre","tp_dev_ld_lb_acre","tp_dev_md_lb_acre","tp_dev_hd_lb_acre","tp_dev_os_lb_acre"
248,"020402020401",91.65,525.40,19980.30,880.80,1624.20,710.20,1.00,37453.80,101153.10,48788.80,31543.00,0.00,8390390.00,0.00,0.00,0.00,41.40,258.00,44.80,330.00,16.30,0.70,1024.70,2228.60,1074.90,863.00,512.90,4646.00,30838.90,100818.50,5372.00,12.20,39.10,2.90,18.40,0.80,0.00,108.60,228.80,110.40,91.40,132.30,1632.00,534.80,14108.40,0.00,7.55927701068744,251.67303491555,1.42067312159861,1.41148893668171,22.7105884869915,0.472052301227513,11.5355496822847,56.9189207161964,63.3710916662352,12.7805469014146,0.595649159197678,3.24978318684964,0.0722594866571501,0.286782015210543,0.521237105516703,0.330436610859259,0.315601561375272,1.2540347918958,1.39617261404331,0.349669085880251,0.175529462372263,0.492505901572949,0.00467751141307445,0.0159902699390121,0.0255821892278136,0,0.0334481600130326,0.128745921379233,0.143397019806848,0.0370333191766569
82,"020401030603",135.91,12491.80,3597.60,9507.30,274.10,287.60,0.10,1045.80,1373.40,267.00,10993.10,0.00,2494958.00,0.00,0.00,0.00,175.50,74.50,1307.00,207.10,12.30,0.30,22.50,26.60,5.20,236.90,561.80,2110.00,17168.10,1144.00,64.50,66.90,12.60,77.70,11.20,0.50,0.00,2.50,2.70,0.50,25.90,125.10,693.00,696.80,448.00,0.00,86.7781651478282,168.223408192538,0.738657593835562,0.393452107022254,19.6621177827151,0.16521830542963,14.3588895139867,74.3969903859191,94.5284733208095,10.7122462602092,1.21916521105396,3.48361238335115,0.101545704368546,0.29727811515618,0.840904202807356,0.495654916288889,0.308926194362881,1.4409203030912,1.8410039747873,0.230847635247887,0.464741610367578,0.589174711815094,0.00603680277692123,0.0160768464014931,0.0341830976750958,0,0.0343251327069868,0.146258827757377,0.177019612960317,0.0252383020384984
119,"020401040705",109.50,36790.70,450848.50,5102.50,82.00,179.90,0.00,1274.50,680.80,198.60,14497.50,0.00,2939952.00,0.00,0.00,0.00,187.80,2103.60,918.50,149.60,5.70,0.00,27.30,13.80,4.00,311.00,354.90,2745.00,13926.40,0.00,33.80,64.80,604.80,53.50,8.00,0.30,0.00,3.00,1.40,0.40,34.00,87.90,886.00,599.80,0.00,0.00,170.984447526579,805.280272167464,0.561649409912181,0.163786835122663,28.7639740130229,0,16.6459075312303,72.568143442898,50.4805468589607,10.524726691905,0.87279881180547,3.75733218704615,0.10110239745308,0.298811104077444,0.91136549124086,0,0.35655808207343,1.47097588059928,1.01672803341311,0.225776168386444,0.301157417491983,1.08025979593341,0.00588892570902532,0.0159792034266013,0.0479666048021505,0,0.039182206821256,0.149229437162246,0.101672803341311,0.0246829251612189
87,"020401040105",99.26,36013.20,48758.90,3112.30,164.50,105.40,0.70,378.30,480.10,221.10,1937.00,0.00,569533.00,0.00,0.00,0.00,790.40,749.50,958.80,123.90,5.80,3.50,8.60,10.50,4.80,44.00,762.40,482.00,12713.90,0.00,27.10,293.70,134.20,53.40,6.70,0.20,0.10,0.90,1.10,0.50,4.80,175.30,158.00,516.00,0.00,0.00,45.8518356827511,276.043272391071,0.363364299233502,0.409210708805632,16.0744702082612,0.0889637029236467,13.9409854893745,42.876382938792,53.4581960934016,9.79177534779784,1.00633353669339,4.24321370369529,0.111940908686528,0.308214023228072,0.884553389069402,0.444818514618234,0.31692433309178,0.937725517303303,1.16055785277398,0.222425459629894,0.373937449047127,0.759758877966521,0.00623450617841114,0.0166669407233905,0.0305018410023932,0.0127091004176638,0.0331664999747212,0.0982379113365365,0.12089144299729,0.0242645955959884
414,"020402070405",42.60,28811.90,518334.00,270.10,83.10,19.80,1.00,781.80,2174.20,495.10,1844.60,0.00,524085.00,0.00,0.00,0.00,288.60,3307.10,4.90,577.50,1.90,3.00,19.20,42.80,9.80,45.30,5871.50,221.00,22895.00,82656.80,106.70,80.30,537.50,0.40,30.40,0.00,0.10,2.10,4.40,1.00,4.90,1883.80,78.00,239.50,6699.30,0.00,29.2338994526588,371.210512035378,2.11997455090465,0.0447754359643512,5.77292196618824,0.105458492827423,11.0242678109432,63.020638537737,86.1048242296943,11.1839150897429,0.292827039592576,2.36841550882674,0.0384593680097475,0.311165033326267,0.553967259381699,0.316375478482269,0.270741803492082,1.24058657410318,1.70435725601092,0.274656485723384,0.0814761305588491,0.384936450665045,0.00313954024569367,0.0163799428798589,0,0.0105458492827423,0.0296123847569464,0.127536937524626,0.1739140057154,0.0297089796919334
420,"020402070505",44.21,3595.60,211461.50,215.70,80.00,18.10,6.40,1653.00,2724.00,314.00,3010.10,0.00,396139.00,0.00,0.00,0.00,26.40,1501.80,3.60,393.70,0.60,2.30,42.00,50.20,5.80,76.40,15458.00,128.00,80482.50,0.00,130.60,6.60,224.30,0.30,20.80,0.00,0.10,4.50,5.10,0.60,8.20,5162.20,52.00,586.40,0.00,0.00,5.55801283957065,102.751759306723,0.882846948336196,0.0559074984887009,6.90104152679145,0.318813212487326,10.7521991683141,78.7267633802293,69.1713972065383,10.9102074114895,0.0408086380477987,0.729743202080931,0.0147345805007432,0.275134776937519,0.228763807517949,0.114573498237633,0.273195623151356,1.45083829724211,1.2776882286558,0.276914337144213,0.0102021595119497,0.10899014531013,0.00122788170839527,0.0145359496070622,0,0.00498145644511446,0.0292709596233596,0.147395922628183,0.132174644343704,0.0297211723112899
133,"020401041004",54.08,164517.70,210478.60,13168.00,906.20,372.20,33.20,721.70,1851.50,711.50,4631.10,0.00,571606.00,0.00,0.00,0.00,676.30,1593.10,482.70,129.90,5.70,20.00,16.10,39.30,15.10,103.20,133.50,434.00,6606.80,8516.90,85.40,303.30,437.50,41.20,7.90,0.60,0.70,1.70,4.00,1.50,11.20,34.00,194.00,268.20,730.00,0.00,562.566449268993,643.781258029019,2.94536606768749,2.42070862377252,73.7931039370898,0.772570104262494,15.1573793680378,68.4854535454386,66.5393345168952,10.8070973767678,2.31260034416127,4.87274203727139,0.107968423517068,0.346998510514291,1.13009320913867,0.465403677266562,0.338137464078437,1.45367449329502,1.4121489124457,0.240826682490647,1.0371309838594,1.33816122108231,0.00921545276342075,0.0211030656894757,0.118957179909333,0.0162891287043297,0.0357039558343691,0.147956691429519,0.140279693289308,0.026136229107512
122,"020401040803",91.73,68004.80,6866.90,5887.90,35.70,128.30,0.60,3673.60,8779.90,2762.90,23322.00,0.00,3976499.00,0.00,0.00,0.00,328.20,104.10,721.40,88.30,6.50,3.50,81.90,180.50,56.80,519.90,170.40,3346.00,11087.10,539.10,406.10,136.20,22.00,44.90,4.70,0.30,0.10,8.90,18.50,5.80,56.50,45.00,1341.00,450.00,798.60,0.00,414.089845838362,249.348919023016,0.831171149514361,0.137276031896923,16.3057758358627,0.0803764729117117,13.4727184645125,64.280658781755,78.4782216741875,10.9533936207793,1.99845139466847,3.78004958136801,0.101837135015822,0.339537076092389,0.826091527148148,0.468862758651652,0.300363578572401,1.32150239867274,1.61336385359363,0.244175857278243,0.829339061407207,0.798857740538868,0.00633835231800724,0.0180727548995949,0.0381273012529914,0.0133960788186186,0.0326402423601266,0.135444844185295,0.164744900543012,0.026535749059859
269,"020402030102",150.95,491066.30,811678.50,20509.60,4.70,6065.00,257.40,5253.70,16352.10,7136.80,11320.80,0.00,3177807.00,0.00,0.00,0.00,1957.80,4090.70,323.00,0.70,55.90,168.70,129.90,354.10,154.50,280.00,5382.00,2545.00,91694.30,70490.50,778.30,807.40,1292.40,40.40,0.00,8.70,5.90,13.90,36.30,15.90,30.00,1593.50,1040.00,1408.00,12151.60,0.00,314.571148069524,931.171019490779,1.72307031164348,1.7919831588906,85.6452155923678,0.472524353528741,12.8816336072567,60.2154439572626,68.6205626880804,12.4018348465538,1.25414306314751,4.69291879658132,0.0271361562712507,0.26689110877094,0.789376348163786,0.309692534733095,0.318503950660038,1.30394803757723,1.48552249401811,0.30673748825481,0.517210700370467,1.48266268675329,0.00339411985559915,0,0.12285463737075,0.0108309778003868,0.0340816390621596,0.13367216538846,0.152879013947494,0.032864730884444
185,"020401060304",159.39,41796.70,110767.70,28467.70,15.10,1013.40,61.30,1918.10,2578.10,510.80,13421.60,0.00,2938119.00,0.00,0.00,0.00,257.00,671.10,1022.00,8.70,18.60,36.90,42.40,50.00,9.90,297.00,409.00,2344.00,25939.60,0.00,114.40,121.90,221.90,92.00,0.50,1.80,1.30,4.60,5.10,1.00,32.30,111.30,1110.00,1004.90,0.00,0.00,83.0496686295923,600.684409967317,1.85057286605295,0.596365676172289,49.7323457591248,0.780067942708829,11.9361669169331,64.5377747315346,93.7705671260609,11.1161868568184,0.510656698682078,3.63932181970977,0.0664361879992452,0.343601416072776,0.912790241878548,0.469567815431579,0.263851455752026,1.25165382901235,1.81740135972593,0.245984643893057,0.242214208441033,1.20334601667948,0.00598055704102794,0.0197472078202745,0.0883345395366337,0.0165430395680502,0.0286253937844179,0.127668690559259,0.183575894921811,0.0267518653122752
