HUC08,NAME
02040101,Upper Delaware
02040102,East Branch Delaware
02040104,Middle Delaware-Mongaup-Brodhead
02040105,Middle Delaware-Musconetcong
02040201,Crosswicks-Neshaminy
02040202,Lower Delaware
02040204,Delaware Bay
02040206,Cohansey-Maurice
02040301,Mullica-Toms
02040302,Great Egg Harbor
02040303,Chincoteague
02040103,Lackawaxen
02040106,Lehigh
02040203,Schuylkill
02040205,Brandywine-Christina
02040207,Broadkill-Smyrna
02040304,Eastern Lower Delmarva
