"comid","nord","huc12"
4491890,68035,"020402020103"
932040307,68018,"020402020104"
4490976,67908,"020402020201"
4491284,67725,"020402020202"
4490858,67705,"020402020203"
4492218,67694,"020402020204"
4488242,68256,"020402020301"
4499344,67674,"020402020302"
4488998,76494,"020402020303"
4489040,76483,"020402020304"
4488286,67672,"020402020305"
4495856,76526,"020402020401"
4499294,67640,"020402020402"
4495864,67652,"020402020403"
4499296,67590,"020402020404"
4495990,67538,"020402020405"
4494968,67483,"020402020501"
4495736,67393,"020402020502"
4499300,67357,"020402020503"
4495680,76687,"020402020504"
4496236,76620,"020402020505"
4499318,65331,"020402020506"
4496226,65319,"020402020507"
4496238,76704,"020402020601"
4495710,65244,"020402020602"
4494592,65186,"020402020603"
4494812,65218,"020402020604"
4495846,65151,"020402020605"
4496356,76767,"020402020606"
24903424,65082,"020402020607"
24903452,65081,"020402020608"
4778811,67073,"020402030101"
4778881,67028,"020402030102"
4779719,67010,"020402030103"
932040163,67307,"020402030201"
4779853,67256,"020402030202"
4779589,67228,"020402030203"
4779571,67271,"020402030204"
4779665,67335,"020402030205"
4779703,67169,"020402030206"
4779859,67162,"020402030207"
4778921,66819,"020402030301"
4778953,66838,"020402030302"
4779033,66855,"020402030303"
4779047,66850,"020402030304"
4779045,66791,"020402030305"
4780613,66889,"020402030306"
4782267,66753,"020402030307"
4783185,66658,"020402030401"
4783175,66676,"020402030402"
4783069,66616,"020402030403"
4783007,66585,"020402030404"
4783021,66557,"020402030405"
4783453,66709,"020402030406"
4783457,66539,"020402030407"
4780829,66501,"020402030408"
4782309,66496,"020402030409"
4780745,66257,"020402030501"
4781137,66227,"020402030502"
4782395,66215,"020402030503"
4779925,66980,"020402030601"
4780541,66909,"020402030602"
4782273,66899,"020402030603"
4782307,66744,"020402030604"
4781025,66482,"020402030605"
4781205,66436,"020402030606"
4781129,66407,"020402030607"
4782073,66372,"020402030608"
4782391,66392,"020402030609"
4781235,66324,"020402030610"
4782429,66287,"020402030611"
4781517,66104,"020402030701"
4781691,66081,"020402030702"
4780633,65859,"020402030801"
4782763,65825,"020402030802"
4782745,65871,"020402030803"
4780961,65890,"020402030804"
4781197,65935,"020402030805"
4781195,65798,"020402030806"
4782189,65737,"020402030807"
4781633,65648,"020402030808"
4782543,65642,"020402030809"
4782159,65494,"020402030901"
4782625,65470,"020402030902"
4781451,66178,"020402031001"
4782471,66173,"020402031002"
4781739,66015,"020402031003"
4782565,65614,"020402031004"
4781759,65581,"020402031005"
4782489,65580,"020402031006"
4782627,65525,"020402031007"
4784841,65459,"020402031008"
24903800,63468,"020402040000"
4648506,64493,"020402050101"
4648604,64425,"020402050102"
4648610,64424,"020402050103"
4650554,64529,"020402050104"
4650714,64401,"020402050105"
932040106,64610,"020402050201"
4650660,64603,"020402050202"
4650726,64662,"020402050203"
4650716,64661,"020402050204"
4651852,64578,"020402050205"
4651226,64838,"020402050301"
4651230,64822,"020402050302"
4651888,64848,"020402050303"
4651080,64953,"020402050304"
4651058,64937,"020402050305"
4651398,64803,"020402050306"
4651348,64910,"020402050307"
4652174,64774,"020402050308"
4650888,64333,"020402050401"
4651130,64261,"020402050402"
4655442,64239,"020402050403"
4651472,65009,"020402050501"
4651956,65034,"020402050502"
4652178,64773,"020402050503"
4652154,64718,"020402050504"
24902758,64237,"020402050505"
932040355,65071,"020402050601"
24902756,65049,"020402050602"
932040361,64227,"020402050701"
932040109,64198,"020402050702"
932040183,64192,"020402050703"
932040111,76967,"020402050704"
24903566,63768,"020402050705"
932040184,77009,"020402050801"
24902810,77094,"020402050802"
24902860,77221,"020402050803"
9481622,64001,"020402060101"
9481956,63999,"020402060102"
24903456,65048,"020402060103"
9482128,64146,"020402060104"
24903486,64181,"020402060105"
24903538,63773,"020402060106"
9481088,63661,"020402060201"
9481826,63625,"020402060202"
24903606,63498,"020402060203"
9485814,78088,"020402060301"
9489898,78020,"020402060302"
9486246,77937,"020402060303"
9481786,112413,"020402060401"
9481770,112441,"020402060402"
9482188,112535,"020402060403"
9485452,112503,"020402060404"
9484562,112383,"020402060405"
9485492,112372,"020402060501"
9485856,112370,"020402060502"
9485582,112290,"020402060503"
9489900,112336,"020402060504"
9486138,112335,"020402060505"
9483572,112248,"020402060506"
9486502,112152,"020402060507"
9485836,77405,"020402060601"
24903666,63485,"020402060602"
9486086,77319,"020402060603"
24946864,78160,"020402060604"
9486540,119714,"020402060605"
9483518,124105,"020402060701"
9483638,121223,"020402060702"
9483492,124359,"020402060703"
8075134,77633,"020402070101"
25039954,77593,"020402070102"
25039920,77563,"020402070103"
25039946,118530,"020402070201"
8074448,77813,"020402070202"
25039974,77684,"020402070203"
8075626,120711,"020402070204"
8074642,123103,"020402070205"
8075748,117897,"020402070301"
8075760,117944,"020402070302"
8074762,117963,"020402070303"
8075784,117858,"020402070304"
8076746,117477,"020402070401"
8077788,117509,"020402070402"
8075316,117542,"020402070403"
8075324,117466,"020402070404"
8075804,117432,"020402070405"
8074862,124380,"020402070406"
8077810,117680,"020402070501"
8077842,119315,"020402070502"
8077566,117660,"020402070503"
8076944,119351,"020402070504"
8077778,119289,"020402070505"
8080210,117578,"020402070506"
8076772,117629,"020402070507"
8077964,116275,"020402070601"
8077664,116184,"020402070602"
8077886,116148,"020402070603"
8077930,116139,"020402070604"
9441119,119669,"020403010101"
9441199,119654,"020403010102"
6261934,124716,"020403010103"
6263394,122261,"020403010104"
9442313,119636,"020403010105"
9442153,118813,"020403010201"
9442157,118863,"020403010202"
9468645,118790,"020403010203"
9441373,114858,"020403010301"
9442241,114893,"020403010302"
9443483,114888,"020403010303"
9453775,114775,"020403010304"
9453771,114824,"020403010305"
9454915,114739,"020403010306"
9442413,122610,"020403010401"
9443919,119895,"020403010402"
9454953,119865,"020403010403"
9443475,124884,"020403010404"
26812379,121561,"020403010405"
9455079,121439,"020403010406"
932040119,123329,"020403010407"
9455121,107954,"020403010501"
9447825,107928,"020403010502"
9454141,108018,"020403010503"
9447827,107996,"020403010504"
9450727,107143,"020403010505"
9454323,107768,"020403010601"
9448367,107450,"020403010602"
9448365,107458,"020403010603"
9454573,107378,"020403010604"
9455405,107749,"020403010605"
9468667,107306,"020403010606"
9455563,107264,"020403010607"
9451555,107067,"020403010608"
9455679,107091,"020403010609"
9455643,106890,"020403010610"
9455163,121601,"020403010701"
9455285,121480,"020403010702"
9455269,119193,"020403010703"
9455445,121131,"020403010704"
9452077,106911,"020403010705"
9434037,114592,"020403020101"
9433625,114653,"020403020102"
9434205,114627,"020403020103"
26814103,114576,"020403020104"
9434077,114578,"020403020105"
9433653,114577,"020403020106"
9433773,114696,"020403020107"
9433771,114555,"020403020108"
9436783,114546,"020403020201"
9436799,114539,"020403020202"
9436801,114532,"020403020203"
9436413,114506,"020403020204"
9436873,114472,"020403020205"
9436435,120395,"020403020301"
9436899,120370,"020403020302"
9438957,120362,"020403020303"
9436881,120357,"020403020304"
9436775,122768,"020403020401"
9436865,123602,"020403020402"
9436627,125390,"020403020403"
9437503,120596,"020403020404"
9438919,123313,"020403020405"
9436931,124744,"020403020406"
26814143,124462,"020403020407"
8415685,121677,"020403030102"
8409063,122703,"020403030103"
8408911,125439,"020403030104"
8409175,118450,"020403030201"
8407597,118404,"020403030202"
8409161,118358,"020403030203"
8409163,119558,"020403030204"
8408587,121736,"020403030205"
8415649,118352,"020403030206"
8410579,121715,"020403030301"
8410651,121863,"020403030302"
8410603,124010,"020403030303"
8410659,124069,"020403030304"
8410687,122347,"020403030401"
8411083,118959,"020403030402"
8411103,118955,"020403030403"
8413043,118929,"020403030501"
8412833,122871,"020403030502"
8413153,118895,"020403030503"
8412899,120980,"020403030504"
8413213,118894,"020403030603"
12055728,123734,"020403040101"
12056596,122290,"020403040102"
12056652,122483,"020403040103"
12056760,122680,"020403040104"
12055316,125473,"020403040201"
12059272,118685,"020403040202"
12058594,123009,"020403040203"
12058142,124648,"020403040301"
12058618,124317,"020403040304"
12056532,125532,"020403040401"
9891532,113508,"020403040501"
