"comid","nord","huc12"
2612792,74293,"020401010101"
2612800,74290,"020401010102"
2612808,74288,"020401010103"
2612820,74282,"020401010104"
2612842,74311,"020401010105"
2612826,74277,"020401010106"
2612944,74271,"020401010201"
2613460,74264,"020401010202"
2613498,74355,"020401010203"
2613528,74226,"020401010204"
2614074,74197,"020401010205"
2614122,74413,"020401010206"
2614138,74141,"020401010207"
2613804,74118,"020401010301"
2613828,74468,"020401010302"
2613826,74454,"020401010303"
2614206,74067,"020401010304"
2622198,74017,"020401010305"
2616584,73969,"020401010306"
2617290,73934,"020401010307"
2616860,73811,"020401010401"
2616778,73808,"020401010402"
2617370,73807,"020401010403"
2616756,73746,"020401010404"
2616816,73702,"020401010405"
2617384,73743,"020401010406"
2617442,73661,"020401010501"
2616942,73638,"020401010502"
2615102,73612,"020401010503"
2615118,73594,"020401010504"
2617252,73586,"020401010505"
2617486,73565,"020401010506"
2617040,73519,"020401010601"
2617038,73491,"020401010602"
2617552,73373,"020401010603"
2617554,73448,"020401010604"
2617202,73323,"020401010605"
2619256,73297,"020401010606"
1750487,74645,"020401020101"
1750613,74712,"020401020102"
1750461,74644,"020401020103"
1750427,74638,"020401020104"
1748733,74790,"020401020201"
1750423,74746,"020401020202"
1752035,74600,"020401020203"
1752843,74589,"020401020204"
1748707,74916,"020401020301"
1748541,74911,"020401020302"
1748567,74902,"020401020303"
1748719,74893,"020401020304"
1748723,74917,"020401020305"
1748587,74889,"020401020306"
1748611,74887,"020401020401"
1748753,74924,"020401020402"
1748759,74881,"020401020403"
1748767,74933,"020401020404"
1748773,74873,"020401020405"
1748603,74857,"020401020501"
1749245,74842,"020401020502"
1752109,74830,"020401020503"
1752015,74570,"020401020504"
1752143,74562,"020401020505"
1752037,74525,"020401020506"
1752159,74523,"020401020507"
2739416,73080,"020401030101"
2739836,72986,"020401030102"
2739774,73041,"020401030103"
2739744,73186,"020401030201"
2739746,73153,"020401030202"
2739540,73127,"020401030203"
2739680,72909,"020401030301"
2743080,72880,"020401030302"
2743108,72664,"020401030401"
2742850,72653,"020401030402"
2742936,72758,"020401030501"
2742902,72740,"020401030502"
2742870,72737,"020401030503"
2743342,72617,"020401030504"
2743218,72535,"020401030505"
2742540,72877,"020401030601"
2742580,73258,"020401030602"
2741462,72447,"020401030603"
4147514,71992,"020401040101"
4147512,71996,"020401040102"
4147552,71954,"020401040103"
4148268,71916,"020401040104"
4147764,71847,"020401040105"
4147822,72048,"020401040106"
4151446,71800,"020401040107"
4147742,71684,"020401040201"
4147706,71472,"020401040202"
4150228,71629,"020401040203"
4147396,71533,"020401040301"
4147394,71555,"020401040302"
4148038,71518,"020401040303"
4147592,71568,"020401040304"
4147988,71487,"020401040305"
4147882,71445,"020401040306"
4150238,71397,"020401040307"
4151522,71291,"020401040308"
4153472,72259,"020401040401"
4150438,72213,"020401040402"
4151396,72197,"020401040403"
4149986,72396,"020401040501"
4150028,72341,"020401040502"
4150288,72129,"020401040503"
4151440,72128,"020401040504"
4158256,71290,"020401040505"
4152878,70875,"020401040601"
4152876,70832,"020401040602"
4153046,70808,"020401040603"
4153156,70909,"020401040604"
4153150,70941,"020401040605"
4151824,70788,"020401040606"
4150730,71224,"020401040701"
4150820,71146,"020401040702"
4150956,71097,"020401040703"
4151706,71115,"020401040704"
4151822,71000,"020401040705"
4154526,70446,"020401040801"
4154356,70401,"020401040802"
4153366,70316,"020401040803"
4154334,70295,"020401040804"
4154498,70293,"020401040805"
4152972,70501,"020401040901"
4153238,70581,"020401040902"
4153236,70484,"020401040903"
4154556,70252,"020401040904"
4154494,70249,"020401040905"
4151006,70709,"020401041001"
4151008,70725,"020401041002"
4151302,70681,"020401041003"
4154350,70229,"020401041004"
4154510,70222,"020401041005"
2583205,70032,"020401050101"
2583713,69995,"020401050102"
2586995,69706,"020401050103"
2587753,69934,"020401050104"
2586237,69793,"020401050201"
2586805,69759,"020401050202"
2588225,69677,"020401050203"
2587861,69673,"020401050204"
2588235,69539,"020401050301"
2588233,69551,"020401050302"
2588259,69534,"020401050303"
2588013,69494,"020401050401"
2588067,69479,"020401050402"
2586241,69363,"020401050501"
2586807,69344,"020401050502"
2586517,69336,"020401050503"
2588261,69326,"020401050504"
2588375,69886,"020401050601"
2587977,69587,"020401050602"
2588457,69532,"020401050603"
2588095,69310,"020401050604"
2588483,69309,"020401050605"
2591381,69133,"020401050701"
2591217,69104,"020401050702"
2591253,69085,"020401050703"
2590117,68848,"020401050801"
2589805,68877,"020401050802"
2590137,68820,"020401050803"
2588117,69290,"020401050901"
2588143,69264,"020401050902"
2591071,69221,"020401050903"
2591067,69220,"020401050904"
2591267,69050,"020401050905"
2589541,69021,"020401050906"
2589581,68989,"020401050907"
2590195,68988,"020401050908"
2590223,68949,"020401050909"
2589737,68913,"020401050910"
4481949,68818,"020401050911"
4186179,76047,"020401060101"
4186371,75963,"020401060102"
4185805,75910,"020401060103"
4185711,75896,"020401060104"
4185507,76118,"020401060201"
4185567,76171,"020401060202"
4186385,76276,"020401060203"
4186549,75819,"020401060204"
4185903,75777,"020401060301"
4186207,75748,"020401060302"
4186963,75697,"020401060303"
4188363,75670,"020401060304"
4187023,75660,"020401060305"
4187073,75643,"020401060306"
4187917,75638,"020401060307"
4187227,75592,"020401060308"
4187387,75534,"020401060309"
4188171,75528,"020401060310"
4187169,75466,"020401060401"
4187179,75478,"020401060402"
4188123,75431,"020401060403"
4187389,75395,"020401060404"
4187383,75297,"020401060501"
4187957,75288,"020401060502"
4187699,75157,"020401060601"
4188007,75134,"020401060602"
4187845,75096,"020401060701"
4187851,75077,"020401060702"
4187747,75049,"020401060703"
4187471,75350,"020401060801"
4187531,75272,"020401060802"
4187555,75259,"020401060803"
4188243,75234,"020401060804"
4187983,75226,"020401060805"
4188241,75214,"020401060806"
4188001,75200,"020401060807"
4187693,75193,"020401060808"
4187643,75034,"020401060809"
4188017,75033,"020401060810"
4187721,74994,"020401060811"
4187711,74988,"020401060812"
4188251,74985,"020401060813"
4481291,68745,"020402010101"
4481849,68738,"020402010102"
4481019,68696,"020402010103"
4480903,68642,"020402010104"
4481793,68604,"020402010105"
4482733,68443,"020402010201"
4482735,68463,"020402010202"
4483005,68350,"020402010203"
4482999,68406,"020402010204"
4480811,68337,"020402010301"
4480877,68300,"020402010302"
4481917,68275,"020402010303"
4481061,76396,"020402010401"
4481099,68572,"020402010402"
4481835,68562,"020402010403"
4481837,68570,"020402010404"
4481885,68535,"020402010405"
4481637,76442,"020402010406"
4485575,68274,"020402010407"
4491008,68188,"020402020101"
4491946,68141,"020402020102"
